alpha,policy_name,avg_cost,avg_score
0.01,Oracle Routing,0.0001625061625,0.9583333333333333
0.01,Single Best,0.0,0.6166666666666657
0.01,Single Best per Benchmark,0.0006647479583333333,0.75
0.01,Two-Stage K=3,0.0002851801708333333,0.8666666666666666
0.01,Two-Stage K=6,0.0002325836625,0.9375
0.01,Two-Stage K=10,0.0002122799479166667,0.9583333333333333
0.05,Oracle Routing,0.0005951153291666666,0.9708333333333332
0.05,Single Best,0.0017558165416666667,0.7291666666666653
0.05,Single Best per Benchmark,0.0017334819458333336,0.8166666666666667
0.05,Two-Stage K=3,0.0006145164,0.8833333333333333
0.05,Two-Stage K=6,0.0003609655041666666,0.9416666666666665
0.05,Two-Stage K=10,0.0007210834208333333,0.9708333333333332
0.1,Oracle Routing,0.0012217678291666667,0.9791666666666665
0.1,Single Best,0.0017558165416666667,0.7291666666666653
0.1,Single Best per Benchmark,0.0017334819458333336,0.8166666666666667
0.1,Two-Stage K=3,0.0033952520833333334,0.9208333333333333
0.1,Two-Stage K=6,0.0018999535666666665,0.9666666666666666
0.1,Two-Stage K=10,0.0009321940874999999,0.9749999999999999
0.2,Oracle Routing,0.0016813553291666666,0.9833333333333332
0.2,Single Best,0.014699289166666673,0.8458333333333315
0.2,Single Best per Benchmark,0.0064737104,0.8458333333333333
0.2,Two-Stage K=3,0.0033952141249999996,0.9208333333333333
0.2,Two-Stage K=6,0.0019000291083333333,0.9666666666666666
0.2,Two-Stage K=10,0.0022354199458333333,0.9833333333333332
0.5,Oracle Routing,0.0016813553291666666,0.9833333333333332
0.5,Single Best,0.014699289166666673,0.8458333333333315
0.5,Single Best per Benchmark,0.020189298374999998,0.8791666666666667
0.5,Two-Stage K=3,0.012479706,0.9583333333333333
0.5,Two-Stage K=6,0.004690552875,0.9791666666666665
0.5,Two-Stage K=10,0.0022354199458333333,0.9833333333333332
1.0,Oracle Routing,0.0016813553291666666,0.9833333333333332
1.0,Single Best,0.042548486458333375,0.8874999999999981
1.0,Single Best per Benchmark,0.02349654083333333,0.8833333333333333
1.0,Two-Stage K=3,0.012479706,0.9583333333333333
1.0,Two-Stage K=6,0.007413430541666666,0.9833333333333332
1.0,Two-Stage K=10,0.0022354907791666667,0.9833333333333332
2.0,Oracle Routing,0.0016813553291666666,0.9833333333333332
2.0,Single Best,0.042548486458333375,0.8874999999999981
2.0,Single Best per Benchmark,0.02349654083333333,0.8833333333333333
2.0,Two-Stage K=3,0.012479706,0.9583333333333333
2.0,Two-Stage K=6,0.007413528041666666,0.9833333333333332
2.0,Two-Stage K=10,0.0022354907791666667,0.9833333333333332
5.0,Oracle Routing,0.0016813553291666666,0.9833333333333332
5.0,Single Best,0.042548486458333375,0.8874999999999981
5.0,Single Best per Benchmark,0.037822651458333335,0.8875
5.0,Two-Stage K=3,0.012479706,0.9583333333333333
5.0,Two-Stage K=6,0.007413603,0.9833333333333332
5.0,Two-Stage K=10,0.0022356313624999997,0.9833333333333332
10.0,Oracle Routing,0.0016813553291666666,0.9833333333333332
10.0,Single Best,0.042548486458333375,0.8874999999999981
10.0,Single Best per Benchmark,0.037822651458333335,0.8875
10.0,Two-Stage K=3,0.012479706,0.9583333333333333
10.0,Two-Stage K=6,0.007413390125,0.9833333333333332
10.0,Two-Stage K=10,0.002235503279166667,0.9833333333333332
